Short15,Short30,ShortDCA,OnePrcnt,GrtrThnHgh
-0.058277937,-0.058277937,-0.057399541,-0.058277937,-0.058277937
0.033083594,0.033083594,0.034105886,0.033083594,0.033083594
0.028663407,0.028663407,0.029647754,0.028663407,0.028663407
-0.009808488,-0.009808488,-0.008888239,-0.009808488,-0.009808488
0.004952866,0.004952866,0.005895209,0.004952866,0.004952866
-0.003262407,-0.003262407,-0.002333246,-0.003262407,-0.003262407
0.033275955,0.033275955,0.03424143,0.033275955,0.033275955
-0.011134091,-0.011134091,-0.010240702,-0.011134091,-0.011134091
0.002689994,0.002689994,0.003605245,0.002689994,0.002689994
-0.008526056,-0.008526056,-0.007624294,-0.008526056,-0.008526056
0.010892054,0.010892054,0.01181854,0.010892054,0.010892054
-0.014956554,-0.014956554,-0.014064303,-0.014956554,-0.014956554
-0.021565566,-0.021565566,-0.020666658,-0.021565566,-0.021565566
-0.003907872,-0.003907872,-0.002973431,-0.003907872,-0.003907872
0.016359642,0.016359642,0.01731594,0.016359642,0.016359642
-0.005905196,-0.005905196,-0.004985768,-0.005905196,-0.005905196
-0.008447045,-0.008447045,-0.007525373,-0.008447045,-0.008447045
-0.020599916,-0.020599916,-0.019682637,-0.020599916,-0.020599916
0.017902469,0.017902469,0.018874949,0.017902469,0.017902469
0.009340679,0.009340679,0.010287116,0.009340679,0.009340679
0.022097754,0.022097754,0.023046394,0.022097754,0.022097754
0.00941919,0.00941919,0.010334957,0.00941919,0.00941919
-0.012441672,-0.012441672,-0.011554902,-0.012441672,-0.012441672
-0.007314607,-0.007314607,-0.006412813,-0.007314607,-0.007314607
-0.02105469,-0.02105469,-0.020159638,-0.02105469,-0.02105469
-0.004428004,-0.004428004,-0.003499022,-0.004428004,-0.004428004
-0.019175843,-0.019175843,-0.018257409,-0.019175843,-0.019175843
0.018335248,0.018335248,0.01930654,0.018335248,0.018335248
-0.012529951,-0.012529951,-0.011605938,-0.012529951,-0.012529951
-0.002533441,-0.002533441,-0.001589114,-0.002533441,-0.002533441
0.032241862,0.032241862,0.033220667,0.032241862,0.032241862
-0.001300555,-0.001300555,-0.000384005,-0.001300555,-0.001300555
0.019857865,0.019857865,0.020794194,0.019857865,0.019857865
0.019636771,0.019636771,0.020553827,0.019636771,0.019636771
-0.006518829,-0.006518829,-0.005643293,-0.006518829,-0.006518829
-0.006670645,-0.006670645,-0.005790275,-0.006670645,-0.006670645
0.009274008,0.009274008,0.010173719,0.009274008,0.009274008
-0.006585704,-0.006585704,-0.005709049,-0.006585704,-0.006585704
-0.003229247,-0.003229247,-0.002344579,-0.003229247,-0.003229247
-0.007515667,-0.007515667,-0.006632734,-0.007515667,-0.007515667
0.016210194,0.016210194,0.017120271,0.016210194,0.016210194
0.000748651,0.000748651,0.001629795,0.000748651,0.000748651
0.005569342,0.005569342,0.00645329,0.005569342,0.005569342
-0.009650186,-0.009650186,-0.008785199,-0.009650186,-0.009650186
0.01470852,0.01470852,0.015602638,0.01470852,0.01470852
-0.006763155,-0.006763155,-0.005901403,-0.006763155,-0.006763155
0.002154581,0.002154581,0.003029232,0.002154581,0.002154581
-0.018220137,-0.018220137,-0.017365856,-0.018220137,-0.018220137
-0.007368283,-0.007368283,-0.006489296,-0.007368283,-0.007368283
0.009594361,0.009594361,0.010494208,0.009594361,0.009594361
-0.003270788,-0.003270788,-0.002391633,-0.003270788,-0.003270788
0.00294364,0.00294364,0.003830397,0.00294364,0.00294364
-0.008543965,-0.008543965,-0.00767071,-0.008543965,-0.008543965
0.00846509,0.00846509,0.009360192,0.00846509,0.00846509
0.010270908,0.010270908,0.011159298,0.010270908,0.010270908
-0.015862146,-0.015862146,-0.015006287,-0.015862146,-0.015862146
0.007218813,0.007218813,0.008108089,0.007218813,0.007218813
0.01526082,0.01526082,0.016149987,0.01526082,0.01526082
-0.002217884,-0.002217884,-0.001357914,-0.002217884,-0.002217884
0.00356461,0.00356461,0.004430741,0.00356461,0.00356461
0.008130327,0.008130327,0.00899656,0.008130327,0.082117047
0.001955846,0.001955846,0.002809097,0.001955846,0.001955846
0.009452892,0.009452892,0.01031012,0.009452892,0.009452892
0.000337759,0.000337759,0.001178577,0.000337759,0.000337759
-0.011089117,-0.011089117,-0.010258882,-0.011089117,-0.011089117
-0.007886265,-0.007886265,-0.007044708,-0.007886265,-0.007886265
0.009183774,0.009183774,0.010045884,0.009183774,0.009183774
-0.010283708,-0.010283708,-0.009446638,-0.010283708,-0.010283708
-0.010741798,-0.010741798,-0.009897136,-0.010741798,-0.010741798
0.006952128,0.006952128,0.007820493,0.006952128,0.006952128
-0.014954477,-0.014954477,-0.014111596,-0.014954477,-0.014954477
-0.001927851,-0.001927851,-0.001061599,-0.001927851,-0.001927851
-0.020508809,-0.020508809,-0.019657781,-0.020508809,-0.020508809
0.007704781,0.007704781,0.008597879,0.007704781,0.007704781
0.005080981,0.005080981,0.00596416,0.005080981,0.005080981
0.0004172,0.0004172,0.001291069,0.0004172,0.0004172
0.009633772,0.009633772,0.010514555,0.009633772,0.009633772
0.007139116,0.007139116,0.008008581,0.007139116,0.007139116
0.011203469,0.011203469,0.012069507,0.011203469,0.011203469
0.002352502,0.002352502,0.003200721,0.002352502,0.002352502
-0.006696826,-0.006696826,-0.005858946,-0.006696826,-0.006696826
-0.008568302,-0.008568302,-0.007727072,-0.008568302,-0.008568302
0.007936974,0.007936974,0.008798868,0.007936974,0.007936974
0.013398259,0.013398259,0.014257265,0.013398259,0.013398259
