Long15,Long30,LongDCA
-0.000153538,-0.000153538,0.000651639
-0.003684326,-0.003684326,-0.002882515
0.004006194,0.004006194,0.00481653
-0.010589364,-0.010589364,-0.009794636
0,0,0.000811179
0.001861253,0.001861253,0.002673284
-0.001083744,-0.001083744,-0.000276259
0.001859919,0.001859919,0.002670008
0.008818069,0.008818069,0.009631612
0.006440699,0.006440699,0.007244582
0.002742664,0.002742664,0.003537831
-0.000607826,-0.000607826,0.000181892
-0.00091224,-0.00091224,-0.000122907
-0.000304322,-0.000304322,0.000485588
-0.005632547,-0.005632547,-0.004847228
-0.007042238,-0.007042238,-0.006254213
0.006475455,0.006475455,0.007279235
-0.007506097,-0.007506097,-0.00671921
-0.005865056,-0.005865056,-0.005071537
0.004502298,0.004502298,0.005308179
0.00015459,0.00015459,0.000952747
0.002318065,0.002318065,0.003117187
0.000154209,0.000154209,0.000949128
0.00554956,0.00554956,0.00634801
0.009351418,0.009351418,0.01014783
0.011695095,0.011695095,0.012485337
0.001501246,0.001501246,0.002273879
0.000749558,0.000749558,0.00151986
0.009137223,0.009137223,0.009912802
-0.006382677,-0.006382677,-0.005626522
0.005228548,0.005228548,0.005997869
0.005795794,0.005795794,0.00656096
-0.000147784,-0.000147784,0.000607902
0.002216669,0.002216669,0.002973682
-0.001179623,-0.001179623,-0.000427412
0.003100074,0.003100074,0.00385583
0.001618852,0.001618852,0.002370594
-0.004995548,-0.004995548,-0.004250537
-0.002510307,-0.002510307,-0.001760247
0.002664693,0.002664693,0.003419974
0.005610483,0.005610483,0.006365401
0.002642784,0.002642784,0.003390714
0.002050066,0.002050066,0.002795028
0.000146164,0.000146164,0.000887638
-0.006721201,-0.006721201,-0.005985471
-0.005737084,-0.005737084,-0.004996191
0.001183637,0.001183637,0.001933433
0.000443313,0.000443313,0.001191109
-0.002215569,-0.002215569,-0.001470647
0.003848927,0.003848927,0.004599479
0.003834272,0.003834272,0.004581378
0.001762921,0.001762921,0.002505084
-0.003372972,-0.003372972,-0.002636459
0.007357269,0.007357269,0.00810368
-0.001606792,-0.001606792,-0.00087297
-0.006876386,-0.006876386,-0.006145799
-0.008839099,-0.008839099,-0.008105446
0.010107016,0.010107016,0.010860802
0.000735771,0.000735771,0.00147454
-0.00705783,-0.00705783,-0.006325893
0.001777032,0.001777032,0.002520182
-0.006504109,-0.006504109,-0.005768955
-0.01681293,-0.01681293,-0.016081183
0.013317145,0.013317145,0.014083644
0.000448014,0.000448014,0.001194267
-0.004030408,-0.004030408,-0.003288381
-0.014238669,-0.014238669,-0.013501824
0.000152075,0.000152075,0.000909909
0.010489541,0.010489541,0.011254511
0.001654897,0.001654897,0.00240474
0.002252944,0.002252944,0.003001435
0.000599341,0.000599341,0.00134436
-0.000598982,-0.000598982,0.000144147
0.006743548,0.006743548,0.007492029
0.008782331,0.008782331,0.00952675
-0.011804575,-0.011804575,-0.011082229
0.014484112,0.014484112,0.015233984
0.002502193,0.002502193,0.003232089
0.000880884,0.000880884,0.001607252
-0.000146604,-0.000146604,0.000577854
-0.001760607,-0.001760607,-0.001037736
-0.002792519,-0.002792519,-0.002069645
0.000294842,0.000294842,0.001021457
0.005009518,0.005009518,0.005738813
0.003518516,0.003518516,0.004242575
-0.006574098,-0.006574098,-0.00586035
0.000882324,0.000882324,0.001605668
-0.00117536,-0.00117536,-0.00045466
0.005295572,0.005295572,0.006021271
0.00175597,0.00175597,0.002474786
-0.001752892,-0.001752892,-0.001038363
0.001170647,0.001170647,0.001888014
0.002923195,0.002923195,0.003640464
0.001603031,0.001603031,0.002316757
0.005528852,0.005528852,0.006243719
0.005209087,0.005209087,0.005919293
0.007773154,0.007773154,0.008480981
0.012283973,0.012283973,0.01298899
-0.001411119,-0.001411119,-0.000724558
0.004239127,0.004239127,0.004930073
0.002814085,0.002814085,0.003500666
0.005472247,0.005472247,0.006158246
0.000139464,0.000139464,0.000817649
-0.000697572,-0.000697572,-2.05E-05
0,0,0.00067755
0.00139623,0.00139623,0.002074266
0.000836559,0.000836559,0.001512814
-0.001114544,-0.001114544,-0.000440628
0.001952566,0.001952566,0.002628851
0.000139226,0.000139226,0.000812516
-0.001391761,-0.001391761,-0.000720047
-0.000696906,-0.000696906,-2.42E-05
-0.005299819,-0.005299819,-0.004630235
0.00644979,0.00644979,0.007130434
0.003204277,0.003204277,0.003877923
-0.001110985,-0.001110985,-0.000442827
0.000834117,0.000834117,0.001503871
-0.004028351,-0.004028351,-0.003362851
0.004742036,0.004742036,0.005415662
0.004858384,0.004858384,0.005528459
0.003453516,0.003453516,0.004118975
-0.001514317,-0.001514317,-0.000854869
-0.007583014,-0.007583014,-0.006927013
0.000416769,0.000416769,0.00108267
-0.00347174,-0.00347174,-0.002809144
-0.00696767,-0.00696767,-0.006305538
-0.001964622,-0.001964622,-0.001294932
-0.003655821,-0.003655821,-0.002986399
0.000705659,0.000705659,0.001380026
